url,registrant_name,expiration_date,registrar,name_servers,dnssec,org
https://www.dataman.se,(not shown),2024-02-13,Loopia AB,ns2.loopia.se 93.188.0.21 2a02:250:ffff::21;ns1.loopia.se 93.188.0.20 2a02:250:ffff::20,signed delegation,N/A
https://www.gp.se,DIDEP2933-002933,2023-12-31,Ports Group AB,dns04.ports.net;dns03.ports.se 94.237.33.102 2a04:3540:1000:310:287e:f6ff:fe1d:4789;dns02.ports.se 45.63.42.179 2001:19f0:5001:2a:5400:00ff:fe38:1e6f;dns01.dipcon.com 193.14.90.50,signed delegation,N/A
www.bluemotion.se,(not shown),2023-08-09,Loopia AB,ns1.loopia.se 93.188.0.20 2a02:250:ffff::20;ns2.loopia.se 93.188.0.21 2a02:250:ffff::21,signed delegation,N/A
www.atgarderivatten.se,roglns8441-00001,2024-01-24,Leissner Data AB,ns1.loopia.se 93.188.0.20 2a02:250:ffff::20;ns2.loopia.se 93.188.0.21 2a02:250:ffff::21,unsigned delegation,N/A
www.augustsson.eu,N/A,N/A,One.com A/S,"ns01.one.com
        ns02.one.com

Keys:
        flags:KSK protocol:3 algorithm:ECDSA_P256_SHA256 pubKey:tTxSfKCsOggvbhOiFauOnrUttcolgoqs5VoGUX7SFRZ9UPGcBXW0wrBZ/V+jaYy1K6mz6uuYD/bpVbGI9PqC7g==

Please visit www.eurid.eu for more info.",N/A,N/A
www.google.com,N/A,N/A,"MarkMonitor, Inc.",NS1.GOOGLE.COM;NS2.GOOGLE.COM;NS3.GOOGLE.COM;NS4.GOOGLE.COM;ns3.google.com;ns1.google.com;ns2.google.com;ns4.google.com,unsigned,Google LLC
www.interregeurope.eu,N/A,N/A,IONOS SE,"lila.ns.cloudflare.com
        vern.ns.cloudflare.com

Please visit www.eurid.eu for more info.",N/A,N/A
